hi,irid,yb
0.996385345,0.881889566,1
0.999999999,0.883646786,1
0.999999999,0.796386397,1
0.999999999,0.825955011,1
0.992968331,0.922447045,1
0.946120559,0.833712517,1
0.933351875,0.922788967,1
0.931955234,0.885440743,1
0.92776084,0.838285562,1
0.946230722,0.917967364,0.975
0.311390473,0.343152124,0.2856524
0.040655768,0.114335271,0.1315789
0.044048813,0.108764773,0.07777778
0.029578076,0.117435164,0.125
 , ,0
0.020657896,0.122988564,0.03601224
 ,0.107455316,0.25
 ,0.112102756,0.125
 ,0.103413981,0.007229971
 ,0.108547246,0.03360222
 ,0.087474688,0.003045554
 ,0.06222106,0
 ,0.060704937,0.004556875
